DEBUG | 09/04/2023 18:47:51 | Register route request
INFO | 09/04/2023 18:47:51 | User not registered 2: P
DEBUG | 09/04/2023 18:47:51 | Login route request
DEBUG | 09/04/2023 18:47:51 | Login route request
DEBUG | 09/04/2023 18:47:51 | Login route request
DEBUG | 09/04/2023 18:47:51 | Login route request
DEBUG | 09/04/2023 18:47:51 | Login route request
DEBUG | 09/04/2023 18:47:51 | Login route request
DEBUG | 09/04/2023 18:47:52 | Login route request
DEBUG | 09/04/2023 18:47:52 | Login route request
DEBUG | 09/04/2023 18:47:52 | Login route request
DEBUG | 09/04/2023 18:47:52 | Login route request
INFO | 09/04/2023 18:50:48 | User could not login with missing field: P
DEBUG | 09/04/2023 18:50:48 | Creating database tables
DEBUG | 09/04/2023 18:50:50 | Login route request
DEBUG | 09/04/2023 18:50:50 | Login route request
INFO | 09/04/2023 18:50:50 | Existing user logged in: P
INFO | 09/04/2023 18:50:50 | home page: P
DEBUG | 09/04/2023 18:50:50 | Login route request
INFO | 09/04/2023 18:50:50 | login page: P
DEBUG | 09/04/2023 18:50:51 | Register route request
INFO | 09/04/2023 18:50:51 | register page: P
DEBUG | 09/04/2023 18:50:51 | Login route request
INFO | 09/04/2023 18:50:51 | basket page: P
DEBUG | 09/04/2023 18:50:51 | Login route request
INFO | 09/04/2023 18:50:51 | calendar page: P
DEBUG | 09/04/2023 18:50:51 | Login route request
INFO | 09/04/2023 18:50:51 | memberships page: P
DEBUG | 09/04/2023 18:50:51 | Login route request
INFO | 09/04/2023 18:50:51 | myBookings page: P
DEBUG | 09/04/2023 18:50:52 | Login route request
INFO | 09/04/2023 18:50:52 | settings page: P
DEBUG | 09/04/2023 18:50:52 | Login route request
INFO | 09/04/2023 18:50:52 | manageUsers page: P
DEBUG | 09/04/2023 18:50:52 | Login route request
INFO | 09/04/2023 18:50:52 | addActivity page: P
DEBUG | 09/04/2023 18:50:52 | Login route request
INFO | 09/04/2023 18:50:52 | addEvent page: P
DEBUG | 09/04/2023 18:50:53 | Login route request
INFO | 09/04/2023 18:50:53 | analysis page: P
DEBUG | 09/04/2023 18:50:53 | Register route request
DEBUG | 09/04/2023 18:50:53 | Register route request
INFO | 09/04/2023 18:50:53 | registering new user: P
DEBUG | 09/04/2023 18:50:53 | Register route request
DEBUG | 09/04/2023 18:50:53 | Register route request
INFO | 09/04/2023 18:50:54 | registering new user number 2: P
DEBUG | 09/04/2023 18:50:54 | Register route request
INFO | 09/04/2023 18:50:54 | User not registered: P
DEBUG | 09/04/2023 18:50:54 | Register route request
INFO | 09/04/2023 18:50:54 | User not registered 2: P
DEBUG | 09/04/2023 18:50:55 | Login route request
DEBUG | 09/04/2023 18:50:55 | Login route request
DEBUG | 09/04/2023 18:50:55 | Login route request
DEBUG | 09/04/2023 18:50:55 | Login route request
DEBUG | 09/04/2023 18:50:55 | Login route request
DEBUG | 09/04/2023 18:50:55 | Login route request
DEBUG | 09/04/2023 18:50:55 | Login route request
DEBUG | 09/04/2023 18:50:55 | Login route request
DEBUG | 09/04/2023 18:50:56 | Login route request
DEBUG | 09/04/2023 18:50:56 | Login route request
INFO | 09/04/2023 19:01:32 | User could not login with missing field: P
DEBUG | 09/04/2023 19:01:33 | Creating database tables
DEBUG | 09/04/2023 19:01:34 | Login route request
DEBUG | 09/04/2023 19:01:34 | Login route request
INFO | 09/04/2023 19:01:34 | Existing user logged in: P
INFO | 09/04/2023 19:01:35 | meet the team page: P
INFO | 09/04/2023 19:01:35 | home page: P
DEBUG | 09/04/2023 19:01:35 | Login route request
INFO | 09/04/2023 19:01:35 | login page: P
DEBUG | 09/04/2023 19:01:35 | Register route request
INFO | 09/04/2023 19:01:35 | register page: P
DEBUG | 09/04/2023 19:01:36 | Login route request
INFO | 09/04/2023 19:01:36 | basket page: P
DEBUG | 09/04/2023 19:01:36 | Login route request
INFO | 09/04/2023 19:01:36 | calendar page: P
DEBUG | 09/04/2023 19:01:36 | Login route request
INFO | 09/04/2023 19:01:36 | memberships page: P
DEBUG | 09/04/2023 19:01:36 | Login route request
INFO | 09/04/2023 19:01:36 | myBookings page: P
DEBUG | 09/04/2023 19:01:37 | Login route request
INFO | 09/04/2023 19:01:37 | settings page: P
DEBUG | 09/04/2023 19:01:37 | Login route request
INFO | 09/04/2023 19:01:37 | manageUsers page: P
DEBUG | 09/04/2023 19:01:37 | Login route request
INFO | 09/04/2023 19:01:37 | addActivity page: P
DEBUG | 09/04/2023 19:01:37 | Login route request
INFO | 09/04/2023 19:01:37 | addEvent page: P
DEBUG | 09/04/2023 19:01:37 | Login route request
INFO | 09/04/2023 19:01:37 | analysis page: P
DEBUG | 09/04/2023 19:01:38 | Register route request
DEBUG | 09/04/2023 19:01:38 | Register route request
INFO | 09/04/2023 19:01:38 | registering new user: P
DEBUG | 09/04/2023 19:01:38 | Register route request
DEBUG | 09/04/2023 19:01:38 | Register route request
INFO | 09/04/2023 19:01:39 | registering new user number 2: P
DEBUG | 09/04/2023 19:01:39 | Register route request
INFO | 09/04/2023 19:01:39 | User not registered: P
DEBUG | 09/04/2023 19:01:39 | Register route request
INFO | 09/04/2023 19:01:39 | User not registered 2: P
INFO | 09/04/2023 19:01:39 | terms and conditions page: P
DEBUG | 09/04/2023 19:01:39 | Login route request
DEBUG | 09/04/2023 19:01:39 | Login route request
INFO | 09/04/2023 19:01:39 | Customer couldnt access edit event page: P
DEBUG | 09/04/2023 19:01:40 | Login route request
DEBUG | 09/04/2023 19:01:40 | Login route request
INFO | 09/04/2023 19:01:40 | Customer couldnt access manage Users page: P
DEBUG | 09/04/2023 19:01:40 | Login route request
DEBUG | 09/04/2023 19:01:40 | Login route request
INFO | 09/04/2023 19:01:40 | Customer couldnt access edit user page: P
DEBUG | 09/04/2023 19:01:40 | Login route request
DEBUG | 09/04/2023 19:01:40 | Login route request
DEBUG | 09/04/2023 19:01:40 | Login route request
DEBUG | 09/04/2023 19:01:40 | Login route request
INFO | 09/04/2023 19:04:59 | User could not login with missing field: P
DEBUG | 09/04/2023 19:04:59 | Creating database tables
DEBUG | 09/04/2023 19:05:01 | Login route request
DEBUG | 09/04/2023 19:05:01 | Login route request
INFO | 09/04/2023 19:05:01 | Existing user logged in: P
INFO | 09/04/2023 19:05:01 | meet the team page: P
INFO | 09/04/2023 19:05:02 | home page: P
DEBUG | 09/04/2023 19:05:02 | Login route request
INFO | 09/04/2023 19:05:02 | login page: P
DEBUG | 09/04/2023 19:05:02 | Register route request
INFO | 09/04/2023 19:05:02 | register page: P
DEBUG | 09/04/2023 19:05:02 | Login route request
INFO | 09/04/2023 19:05:02 | basket page: P
DEBUG | 09/04/2023 19:05:02 | Login route request
INFO | 09/04/2023 19:05:02 | calendar page: P
DEBUG | 09/04/2023 19:05:03 | Login route request
INFO | 09/04/2023 19:05:03 | memberships page: P
DEBUG | 09/04/2023 19:05:03 | Login route request
INFO | 09/04/2023 19:05:03 | myBookings page: P
DEBUG | 09/04/2023 19:05:03 | Login route request
INFO | 09/04/2023 19:05:03 | settings page: P
DEBUG | 09/04/2023 19:05:03 | Login route request
INFO | 09/04/2023 19:05:03 | manageUsers page: P
DEBUG | 09/04/2023 19:05:04 | Login route request
INFO | 09/04/2023 19:05:04 | addActivity page: P
DEBUG | 09/04/2023 19:05:04 | Login route request
INFO | 09/04/2023 19:05:04 | addEvent page: P
DEBUG | 09/04/2023 19:05:04 | Login route request
INFO | 09/04/2023 19:05:04 | analysis page: P
DEBUG | 09/04/2023 19:05:04 | Register route request
DEBUG | 09/04/2023 19:05:04 | Register route request
INFO | 09/04/2023 19:05:05 | registering new user: P
DEBUG | 09/04/2023 19:05:05 | Register route request
DEBUG | 09/04/2023 19:05:05 | Register route request
INFO | 09/04/2023 19:05:05 | registering new user number 2: P
DEBUG | 09/04/2023 19:05:05 | Register route request
INFO | 09/04/2023 19:05:05 | User not registered: P
DEBUG | 09/04/2023 19:05:06 | Register route request
INFO | 09/04/2023 19:05:06 | User not registered 2: P
INFO | 09/04/2023 19:05:06 | terms and conditions page: P
DEBUG | 09/04/2023 19:05:06 | Login route request
DEBUG | 09/04/2023 19:05:06 | Login route request
INFO | 09/04/2023 19:05:06 | Customer couldnt access edit event page: P
DEBUG | 09/04/2023 19:05:06 | Login route request
DEBUG | 09/04/2023 19:05:06 | Login route request
INFO | 09/04/2023 19:05:06 | Customer couldnt access manage Users page: P
DEBUG | 09/04/2023 19:05:07 | Login route request
DEBUG | 09/04/2023 19:05:07 | Login route request
INFO | 09/04/2023 19:05:07 | Customer couldnt access edit user page: P
DEBUG | 09/04/2023 19:05:07 | Login route request
DEBUG | 09/04/2023 19:05:07 | Login route request
INFO | 09/04/2023 19:05:07 | Customer couldnt access analysis page: P
DEBUG | 09/04/2023 19:05:07 | Login route request
DEBUG | 09/04/2023 19:05:07 | Login route request
INFO | 09/04/2023 19:05:07 | Customer couldnt access edit Activity page: P
INFO | 09/04/2023 19:24:29 | User could not login with missing field: P
